host: 127.0.0.1 , port: 53911 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=29, tm_hour=17, tm_min=12, tm_sec=57, tm_wday=0, tm_yday=119, tm_isdst=1) , request: read b'log.txt' , status: File already existshost: 127.0.0.1 , port: 37386 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=29, tm_hour=17, tm_min=12, tm_sec=57, tm_wday=0, tm_yday=119, tm_isdst=1) , request: read b'filedoesntexists.txt' , status: File Not Foundhost: 127.0.0.1 , port: 33953 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=11, tm_min=11, tm_sec=29, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'log.txt' , status: File already exists
host: 127.0.0.1 , port: 48085 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=11, tm_min=11, tm_sec=30, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'ack.txt' , status: File Not Found 
host: 127.0.0.1 , port: 38526 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=11, tm_min=28, tm_sec=40, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'log.txt' , status: File already exists
host: 127.0.0.1 , port: 51523 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=11, tm_min=28, tm_sec=41, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'ack.txt' , status: File Not Found 
host: 127.0.0.1 , port: 54801 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=11, tm_min=28, tm_sec=57, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'data.txt' , status: File already exists
host: 127.0.0.1 , port: 60230 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=11, tm_min=34, tm_sec=44, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'log.txt' , status: File already exists
host: 127.0.0.1 , port: 58747 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=11, tm_min=34, tm_sec=45, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'ack.txt' , status: File Not Found 
host: 127.0.0.1 , port: 48440 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=11, tm_min=35, tm_sec=2, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'data.txt' , status: File already exists
host: 127.0.0.1 , port: 53691 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=11, tm_min=35, tm_sec=59, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'log.txt' , status: File already exists
host: 127.0.0.1 , port: 60880 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=11, tm_min=36, tm_sec=0, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'ack.txt' , status: File Not Found 
host: 127.0.0.1 , port: 42693 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=11, tm_min=36, tm_sec=18, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'data.txt' , status: File already exists
host: 127.0.0.1 , port: 59868 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=13, tm_min=13, tm_sec=1, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'log.txt' , status: File already exists
host: 127.0.0.1 , port: 47623 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=13, tm_min=13, tm_sec=3, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'ack.txt' , status: File Not Found 
host: 127.0.0.1 , port: 42859 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=13, tm_min=13, tm_sec=20, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'data.txt' , status: File already exists
host: 127.0.0.1 , port: 47013 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=14, tm_min=40, tm_sec=45, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'log.txt' , status: File already exists
host: 127.0.0.1 , port: 55116 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=14, tm_min=40, tm_sec=47, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'data.txt' , status: File already exists
host: 127.0.0.1 , port: 53061 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=14, tm_min=44, tm_sec=49, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'log.txt' , status: File already exists
host: 127.0.0.1 , port: 37224 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=14, tm_min=44, tm_sec=50, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'ack.txt' , status: File Not Found 
host: 127.0.0.1 , port: 52140 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=14, tm_min=45, tm_sec=7, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'data.txt' , status: File already exists
host: 127.0.0.1 , port: 38564 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=14, tm_min=49, tm_sec=37, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'log.txt' , status: File already exists
host: 127.0.0.1 , port: 47870 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=14, tm_min=49, tm_sec=38, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'ack.txt' , status: File Not Found 
host: 127.0.0.1 , port: 59924 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=14, tm_min=49, tm_sec=55, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'data.txt' , status: File already exists
host: 127.0.0.1 , port: 52992 , time: time.struct_time(tm_year=2019, tm_mon=4, tm_mday=30, tm_hour=14, tm_min=50, tm_sec=46, tm_wday=1, tm_yday=120, tm_isdst=1) , request: read b'log.txt' , status: File already exists
